laptop_ID,Price_in_euros
209,1507.6138
1281,281.62137
1168,383.84467
1231,992.683
1020,1073.3354
379,500.26755
553,796.07135
172,927.2627
779,1290.0083
609,308.48337
256,2514.253
117,1486.2607
283,502.902
1195,1876.2942
588,943.14636
743,772.55286
715,2096.1448
160,1451.7158
1021,1927.8821
49,675.34375
690,1311.6492
1135,307.86252
852,827.47675
857,1168.131
210,449.03018
485,695.4543
560,570.94775
1209,571.1496
953,2522.6404
460,1019.57623
1092,2229.45
152,411.48834
806,1020.86365
986,2699.1907
917,2223.3586
408,1995.7568
942,661.6003
959,1408.7252
461,931.54156
858,1628.1267
329,759.9119
1293,854.09845
1284,499.38724
628,1279.0896
262,1132.468
933,1052.8646
676,1094.1063
608,583.7507
125,631.33417
450,414.85922
67,1808.8069
93,704.2739
769,1162.0314
1070,740.56384
1162,1555.8119
594,1804.4257
288,640.29333
273,860.80096
355,893.57715
717,540.8765
18,2895.7805
804,1583.7379
60,445.49316
186,1998.5359
298,1476.6259
864,1498.4954
1026,1065.1799
240,1244.7438
875,1719.8523
276,2028.2568
939,834.4895
436,408.1871
702,1034.2201
938,1738.2023
558,1009.0826
527,1246.8021
624,1574.9569
1128,1829.3975
844,1602.809
811,1311.9766
129,734.237
994,1535.9789
445,2248.6624
1051,1555.3317
937,1359.6807
1073,1883.1201
382,516.4318
765,877.9008
159,831.9523
998,971.0032
696,659.67456
90,1957.8036
1082,1254.741
913,3249.1729
252,3214.346
1183,1215.6232
589,729.8299
962,568.56995
989,922.47784
361,957.2279
849,1961.8787
1067,796.79816
1,1322.6858
380,1182.1163
344,297.23776
683,1676.7836
405,2001.435
602,587.4554
1296,353.91937
782,1081.1702
91,1606.1527
1122,776.83636
251,762.1828
218,635.36755
941,1086.0898
533,654.74927
1258,511.58298
1059,1452.7833
905,1998.0205
220,1191.4904
230,948.126
1319,673.1106
265,1083.9447
906,1547.8176
880,1848.6621
733,512.6353
1004,1607.6415
866,935.72266
80,508.97867
1278,1118.2437
744,1904.6918
1010,1536.7672
351,1787.4146
524,1790.098
573,792.72455
208,2589.3467
799,1374.3931
97,1076.6317
375,1565.1814
1076,632.9828
189,1354.2101
225,695.00543
1084,1168.0522
1029,1076.3821
1248,1796.8004
73,1191.4904
1178,1794.4845
659,747.85974
87,1540.2899
474,715.8878
1111,714.9116
56,881.41736
816,611.65686
1077,994.0884
348,746.2009
664,870.4934
536,1119.616
248,944.1359
3,723.8928
170,326.86023
555,389.75238
612,2244.2722
1239,1177.9832
981,608.7086
487,1105.5204
404,1024.3505
1031,2028.9144
1314,267.60724
320,894.3754
729,1088.5325
1107,1399.9736
314,366.08676
1273,339.32455
1270,519.41986
693,2467.5251
1205,646.11505
911,943.14636
272,460.12317
532,1205.8655
1102,1282.6882
1182,659.9268
839,4981.4346
529,1088.658
863,881.4823
772,1112.4633
1221,2006.6102
759,519.03107
1194,951.8971
821,1334.9043
497,879.1537
100,576.06335
1204,1839.0586
1071,515.9558
1202,789.61334
881,640.7335
919,329.92462
968,1436.2017
299,892.19055
632,773.18365
36,323.24823
193,1083.9447
1274,1904.3604
481,1260.0686
143,660.1101
999,612.80695
383,400.14038
1075,1919.5593
168,326.86023
515,1671.2434
662,358.9687
1150,886.2119
108,809.5576
997,741.4647
103,1069.7827
308,565.3925
975,1469.4482
872,1078.0468
1170,571.5711
425,735.9719
179,610.2192
217,411.84952
803,1247.3121
1148,1264.7344
814,1398.9633
774,903.9973
908,955.39954
1006,346.69742
1247,1203.1328
707,714.0021
1230,1693.8942
381,497.20755
882,398.38336
708,891.8995
502,1354.8097
1169,302.04538
550,747.85974
1096,2998.7292
24,1148.5284
784,1046.5321
556,1406.7439
807,1776.1222
1245,563.2479
751,1184.1229
1039,1312.5017
1176,680.70306
797,2199.9226
830,1168.098
865,1002.3767
313,861.2369
1217,1922.3159
1046,1362.4313
1253,418.3497
931,1727.5612
232,930.9679
1174,1727.5612
969,2586.9805
548,538.9583
164,463.95178
1047,1453.9888
77,1158.5388
652,426.61255
554,495.068
512,1086.8291
1127,476.52448
1131,2367.2349
785,1697.1273
140,1174.0271
1225,339.56506
922,2155.0903
479,1323.8793
544,409.99652
841,511.47565
478,798.0376
1155,1617.9242
113,1511.0956
284,764.0615
415,432.12524
735,687.47046
604,1023.7839
33,533.0949
177,575.72253
363,982.0752
888,1192.4397
530,484.73145
150,339.32455
62,1029.0092
1212,1049.52
752,2500.712
851,3302.9338
1097,423.44656
84,930.99677
1042,1427.948
605,1490.3843
668,1110.7041
1066,1071.6888
1237,1761.3838
1259,1176.7216
198,1052.4064
617,2783.2864
420,1194.6342
1267,1736.4929
11,537.2843
800,386.93808
829,426.17664
368,728.915
1164,1666.9541
809,2297.0962
1255,793.16034
793,2118.186
1142,1680.7428
47,407.8266
1264,934.8518
428,276.323
1308,521.362
374,971.6533
301,924.55396
767,2470.3105
1009,1032.0326
82,974.04
280,785.8787
940,1559.804
1172,1025.015
1157,1233.2798
1238,1068.853
315,1263.7578
583,2286.182
704,2202.7158
649,684.33685
897,448.8439
1064,1910.8599
147,435.89047
274,969.2776
1087,1649.9454
1193,632.2999
1045,414.6212
433,979.41644
68,366.42862
1141,423.44656
777,1438.2676
72,1281.5723
900,409.00583
419,438.04153
577,1764.5082
656,1460.9745
249,1776.1222
713,856.2483
1272,370.58252
300,1120.1921
457,906.11005
268,661.6003
122,908.07275
531,1006.548
399,774.3253
109,571.70447
971,843.76416
310,287.69202
692,1841.6299
392,590.69836
812,998.6217
794,2070.2644
950,482.87537
173,770.2406
892,911.1321
1143,882.1996
665,1203.6177
776,1401.2319
868,1682.1396
658,3242.1418
1023,671.88983
495,2019.6631
885,1836.6483
1220,1560.3654
332,588.6789
192,1321.1744
429,1325.4668
1079,1792.9509
846,575.72253
561,984.52893
330,726.7511
158,684.1287
127,490.81198
38,1081.536
1032,1284.1622
1201,348.00565
646,1659.7828
679,906.5577
820,2191.381
948,993.4834
483,1960.5513
1017,975.6986
421,1325.2655
